"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","ACMH","ACMH_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES"
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-07-07",,,,,,,,,,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0",,,"93",",,0","74",",,0","76",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-07-08",,,,,,,,,,,,,"0.40",",,0,0700","0.0","P,,0","0.0","P,,0",,,"77",",,0","64",",,0","69",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-07-09",,,,,,,,,,,,,"0.01",",,0,0700","0.0","P,,0","0.0","P,,0",,,"90",",,0","67",",,0","73",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-07-10",,,,,,,,,,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0",,,"92",",,0","72",",,0","72",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-07-11",,,,,,,,,,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0",,,"90",",,0","72",",,0","73",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-07-12",,,,,,,,,,,,,"0.62",",,0,0700","0.0","P,,0","0.0","P,,0",,,"90",",,0","71",",,0","72",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-07-13",,,,,,,,,,,,,"0.58",",,0,0700","0.0","P,,0","0.0","P,,0",,,"88",",,0","61",",,0","62",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-07-14",,,,,,,,,,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0",,,"77",",,0","57",",,0","58",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-07-15",,,,,,,,,,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0",,,"83",",,0","57",",,0","64",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-07-16",,,,,,,,,,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0",,,"90",",,0","63",",,0","66",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-07-17",,,,,,,,,,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0",,,"92",",,0","66",",,0","72",",,0,0700",,
